Name,Accessory 1,Accessory 2,Accessory 3,Accessory 4,Accessory 5,Muscles Involved,Audience,What to Do,Repetitions,Video Link,Category 1,Category 2,Category 3,Category 4,Heuristic Level,ACSM Level
Incline Plank on Counter,Sturdy countertop,None,None,None,None,"Abdominals, shoulders, chest, and core stabilizers",Suitable for individuals building core strength with reduced wrist and shoulder strain using a higher incline.,"Place hands on a sturdy countertop, keeping your body in a straight line from head to heels. Engage your core and hold the position, avoiding sagging or arching.",Hold for 20–30 seconds; repeat 2–3 times,https://youtu.be/rBE5GNzm3k0?si=3dKcy7HPjP5H6j-F,Chest,Core,,,Intermediate,Intermediate
Incline Push-Ups on Counter,Sturdy countertop,None,None,None,None,"Chest, triceps, shoulders, and core","Suitable for individuals building upper body strength with minimal wrist and shoulder strain, using a higher incline for reduced intensity.",Stand facing a sturdy countertop. Place your hands on the edge at shoulder-width. Keep your body straight from head to heels and lower your chest toward the counter by bending your elbows. Push back up with control.,8–12 repetitions,,Arms,Chest,Core,,Intermediate,Intermediate
Incline Push-Ups on Counter with Hold,Sturdy countertop,None,None,None,None,"Chest, shoulders, triceps, and core",Suitable for individuals improving upper body strength with reduced wrist strain by using an elevated surface.,"Place hands on a countertop or sturdy elevated surface. Lower your chest toward the surface slowly, then pause and hold for a few seconds at the bottom. Push back up with control.",8–12 repetitions,,Arms,Chest,Core,,Intermediate,Intermediate
Isometric Abdominal Hold,Chair,None,None,None,None,Abdominals and core stabilizers,Suitable for individuals seeking static core strength improvement in a seated position.,Sit upright in a chair. Tighten your abdominal muscles and hold the contraction without moving your torso or legs.,Hold for 10–20 seconds; repeat 3–5 times,,Core,,,,Beginner,Beginner
Isometric Band Hold,Resistance band,None,None,None,None,"Upper back, shoulders, and rear deltoids","Suitable for individuals improving upper body endurance without repetitive motion, ideal for those recovering from injury.",Sit or stand holding a resistance band at shoulder height. Pull the band apart to create tension and hold that stretched position without moving.,Hold for 10–20 seconds; repeat 2–3 times,https://youtu.be/kaj-SMcD6B8?si=Z7D40v2dJBdCHX3K,Back,,,,Beginner,Intermediate
Isometric Calf Squeeze,Chair/Floor,None,None,None,None,Calves (gastrocnemius and soleus),"Suitable for individuals seeking gentle calf muscle activation without joint movement, helpful for rehab or limited mobility.","Sit or stand with feet flat on the floor. Tighten your calf muscles as if pressing down into the floor without lifting your heels. Hold the squeeze, then relax.",Hold for 10–20 seconds; repeat 3–5 times,,Legs,,,,Beginner,Beginner
Isometric Chest Squeeze,Resistance band,None,None,None,None,"Chest, shoulders, and triceps",Suitable for beginners or those seeking to improve chest muscle activation without joint movement.,"Hold a resistance band in place at chest level and squeeze without extending the arms. Hold the contraction, then release.",Hold for 10–20 seconds; repeat 3–5 times,https://youtu.be/31e12iZtEKU?si=gKeiX5Z_b6Jjar7u,Arms,Chest,,,Beginner,Beginner
Isometric Curl Hold,Light weights/Resistance bands,None,None,None,None,Biceps,Suitable for individuals building muscle endurance or seeking low-movement options.,"Hold the bicep curl halfway through the range of motion, keeping the elbow bent and muscles engaged.",Hold for 10–20 seconds; repeat 3–5 times,https://youtu.be/NrfsD-YZhak?si=CiKlMW_RGOF5d9Az,Arms,,,,Beginner,Beginner
Isometric Hamstring Squeeze,Chair/Floor,None,None,None,None,Hamstrings and glutes,"Suitable for individuals seeking to activate the hamstrings with minimal movement, helpful for muscle endurance and joint-friendly strength work.","Sit upright and bend one knee to about 90 degrees. Push your heel gently backward into the floor or chair leg, engaging the hamstring muscles without moving.",Hold for 10–20 seconds; repeat 3–5 times per leg,https://youtu.be/YY4PLr1jVG4?si=u3rgfEO2STwRgi7e,Legs,,,,Beginner,Beginner
Isometric Hold at the Top (Overhead),Light weights/Resistance bands,None,None,None,None,Triceps and shoulders,Ideal for individuals seeking to build static endurance in the triceps with minimal movement.,"Hold a weight or resistance band overhead with arms fully extended, keeping tension in the triceps without moving.",Hold for 10–20 seconds; repeat 3–5 times,https://youtu.be/kaj-SMcD6B8?si=Z7D40v2dJBdCHX3K,Arms,,,,Beginner,Beginner
Isometric Oblique Hold,None,None,None,None,None,Obliques and core stabilizers,Suitable for individuals focusing on static core endurance or those with limited range of motion.,"Sit or stand upright. Place one hand firmly on the side of your waist and press against it while contracting your obliques. Hold without moving, then relax and switch sides.",Hold for 10–20 seconds per side; repeat 2–3 times,,Core,,,,Beginner,Beginner
Isometric Shoulder Squeeze,None,None,None,None,None,"Upper back, shoulders, and rear deltoids",Suitable for individuals seeking postural improvement or gentle back muscle activation.,"Sit or stand upright and pull your shoulder blades back and together, squeezing gently. Hold the contraction, then release.",Hold for 10–20 seconds; repeat 3–5 times,,Shoulders,Back,,,Beginner,Beginner
Isometric Side Crunch,None,None,None,None,None,Obliques and core stabilizers,"Suitable for individuals seeking to improve side core strength without movement, especially beneficial for those with balance concerns.","Stand or sit upright. Engage your side core muscles by tightening your obliques as if leaning slightly sideways, but without actual movement. Hold, then relax.",Hold for 10–15 seconds per side; repeat 2–3 times,https://youtu.be/t0KVtouKPvg?si=F34NXK9YRYp1WHgJ,Core,,,,Intermediate,Intermediate
Isometric Twist Hold,None,None,None,None,None,Obliques and core stabilizers,"Suitable for individuals seeking static core engagement with minimal movement, ideal for those with limited mobility.","Sit or stand upright. Rotate your torso slightly to one side, tighten your abdominal muscles, and hold the position without moving. Switch sides.",Hold for 10–15 seconds per side; repeat 2–3 times,https://youtu.be/b4cRY-P50sY?si=ME7O1Gfb8EW2zcqu,Core,,,,Beginner,Beginner
Isometric Wall Press,Wall,None,None,None,None,"Chest, shoulders, and triceps",Suitable for beginners or those seeking gentle chest activation without joint movement.,"Stand facing a wall with hands placed at chest height. Press your palms firmly against the wall without bending your arms. Hold the pressure for the set time, then release.",Hold for 10–20 seconds; repeat 3–5 times,,Arms,Chest,,,Beginner,Beginner
Mini Squats,Optional chair/Optional wall,None,None,None,None,"Quadriceps, glutes, hamstrings, and calves","Great for beginners, those recovering from injury, or individuals looking to ease into lower body exercises. Supports joint mobility and foundational leg strength.","Stand with feet hip-width apart and hands on a chair or wall for balance if needed. Bend your knees slightly to perform a small squat, avoiding full sitting or deep bending. Keep your back straight and heels grounded. Return to standing with control.",8–12 repetitions,https://youtu.be/SszthHgtZVQ?si=CNYkRLjzXtDMEaxS,Legs,,,,Beginner,Beginner
Neck and Upper Trap Stretch,None,None,None,None,None,"Neck muscles (upper trapezius, sternocleidomastoid)","Suitable for individuals seeking gentle neck mobility and tension relief, especially from prolonged sitting or desk work.","Sit or stand upright. Slowly tilt your head to one side, bringing your ear toward your shoulder until a stretch is felt on the opposite side of your neck. Hold, then switch sides.",Hold for 15–30 seconds per side; repeat 2–3 times,,Back,Stretches,,,Beginner,Beginner
One-Arm Band Curl,Resistance band,None,None,None,None,Biceps and forearms,Suitable for individuals focusing on unilateral arm strength and improving control using light resistance.,"Sit or stand holding a resistance band in one hand with the opposite end secured under your foot. Curl the band upward by bending your elbow, then lower slowly with control. Alternate arms.",8–12 repetitions per arm,,Arms,,,,Beginner,Intermediate
One-Arm Curl with Hold,Light weights/Resistance bands,None,None,None,None,Biceps and forearms,Suitable for individuals focusing on unilateral arm strength and control.,"Sit or stand holding a weight or band in one hand. Curl the weight or band toward your shoulder, hold briefly at the top, then lower slowly. Switch arms after completing repetitions.",8–12 repetitions per arm,,Arms,,,,Beginner,Beginner
One-Arm Overhead Extension,Light weights,None,None,None,None,Triceps and shoulders,Suitable for individuals focusing on unilateral tricep strength and control.,"Sit or stand holding a weight in one hand. Extend your arm overhead, then bend at the elbow to lower the weight behind your head. Extend your arm back to start. Switch arms after reps.",8–12 repetitions per arm,,Arms,,,,Beginner,Beginner
One-Arm Press,Light weights/Resistance bands,None,None,None,None,"Shoulders (deltoids), triceps",Suitable for individuals focusing on unilateral strength and control.,Sit or stand holding a weight or resistance band in one hand at shoulder height. Press overhead until arm is fully extended. Lower slowly. Switch arms after completing repetitions.,8–12 repetitions per arm,https://youtu.be/Y5Ga04sX5G0?si=mP8v-hp0QxsNrL2o,Arms,,,,Beginner,Beginner
One-Arm Row with Chair Support,Sturdy chair,Light weights/Resistance bands,None,None,None,"Upper back, shoulders, and biceps",Suitable for beginners or individuals focusing on unilateral strength and muscle balance. Helps improve posture and upper body strength with added support.,Place one hand and the same-side knee on a sturdy chair for support. Hold a light weight or resistance band in the other hand. Pull the weight or band towards your torso by bending the elbow and squeezing your shoulder blade. Lower slowly with control. Switch sides after completing repetitions.,8–12 repetitions per side,,Arms,Back,,,Beginner,Beginner
Overhead Extension with Resistance Band,Resistance band,None,None,None,None,Triceps and shoulders,Suitable for individuals seeking lighter resistance and a safer range of motion for overhead tricep work.,"Hold a resistance band overhead with both hands. Bend your elbows to lower your hands behind your head, then extend your arms to return to the starting position.",8–12 repetitions,https://youtu.be/1-WbL46n9Fs?si=jl0LzF-KtWRFq1Kl,Arms,,,,Beginner,Intermediate
Overhead Reach,None,None,None,None,None,Shoulders and upper back,Suitable for beginners or individuals focusing on mobility without weights.,"Sit or stand upright. Slowly lift both arms overhead, reaching towards the ceiling. Hold briefly, then lower with control.",8–12 repetitions,https://youtu.be/hZHQQWF8Yrk?si=SIpqpCLIRcB3Wh2Z,Back,,,,Beginner,Beginner
Partial Chair Squats,Sturdy chair,None,None,None,None,"Quadriceps, glutes, hamstrings, and calves",Suitable for beginners or individuals improving lower body strength with joint-friendly squatting.,"Stand in front of a sturdy chair with feet shoulder-width apart. Slowly lower your body halfway toward the chair (without fully sitting), then return to standing. Keep your back straight and knees aligned over your toes.",8–12 repetitions,https://youtu.be/9xPViG1ylO4?si=95mLpjjN7dDLMeq4,Legs,,,,Beginner,Beginner
Partial Heel Raises,None,None,None,None,None,Calves (gastrocnemius and soleus),Ideal for individuals easing into calf strengthening exercises or reducing strain on joints and muscles.,"Stand or sit and lift your heels halfway off the floor, avoiding full range of motion. Lower slowly back to start.",10–15 repetitions,https://youtu.be/2-nnfoniUnw?si=afYmDZqIu55ctGn-,Legs,,,,Beginner,Beginner
Partial Reverse Lunges,None,None,None,None,None,"Quadriceps, glutes, hamstrings, and calves",Ideal for individuals easing into lunges with reduced range of motion for comfort and safety.,"Stand upright and step one foot back into a short lunge, only bending slightly at both knees. Keep movements small and controlled. Return to standing and switch sides.",8–10 repetitions per leg,https://youtu.be/2SHnOB5NZyo?si=WB8f2_g3dTjlk9hg,Legs,,,,Intermediate,Intermediate
Partial Squats,None,None,None,None,None,"Quadriceps, glutes, hamstrings, and calves","Ideal for beginners, older adults, or individuals with knee pain or joint limitations. Helps build foundational lower body strength while minimizing joint stress.","Stand with feet shoulder-width apart. Lower your body by bending the knees slightly, keeping your back straight and heels on the ground. Stop at a shallow depth (about halfway or less) to avoid strain, then return to standing. Keep knees aligned over toes and avoid letting them cave inward.",8–12 repetitions,https://youtu.be/1xOPPNNwCQM?si=r26LW9aazbfkoxBi,Legs,,,,Beginner,Beginner
Partial Step-Ups,Low step/Platform,None,None,None,None,"Quadriceps, glutes, and calves",Ideal for individuals easing into step-up exercises or those with joint limitations requiring reduced motion.,"Use a lower step or platform. Step up partially, avoiding full range of motion, then step back down.",8–12 repetitions per leg,,Legs,,,,Beginner,Intermediate
Partial Wall Sit,Wall,None,None,None,None,"Quadriceps, glutes, hamstrings, and core",Suitable for beginners or individuals improving lower body endurance with limited joint strain.,"Stand with your back against a wall. Slide down slightly into a shallow squat position, keeping knees above ankles and holding a higher position.",Hold for 10–30 seconds; repeat 2–3 times,,Legs,Core,,,Beginner,Beginner
Resistance Band Bicep Curl,Resistance band,None,None,None,None,Biceps,Suitable for beginners or individuals preferring lighter resistance options for arm strength.,"Stand or sit, holding a resistance band under your feet or seated position. Curl your arms by bending your elbows to bring hands toward shoulders, then slowly return.",8–12 repetitions,https://youtu.be/Wc910Xm3y1Y?si=xkKYujH0XKjZdgJW,Arms,,,,Beginner,Intermediate
Seated Ankle Circles,Chair/Floor,None,None,None,None,"Ankles, calves, and lower leg stabilizers","Suitable for individuals improving ankle mobility and circulation, ideal for beginners or those with limited mobility.","Sit upright with feet flat on the floor. Lift one foot slightly off the floor and slowly make circles with your ankle in one direction, then reverse. Switch sides after completing repetitions.","10–15 circles per direction, per ankle",https://youtu.be/_n-7iT0GdJg?si=z7cN1JNqvFErRegx,Legs,,,,Beginner,Beginner
Seated Arm Press-Downs,Chair with armrests,None,None,None,None,Triceps and shoulders,"Suitable for individuals seeking a low-impact seated arm strengthening exercise, ideal for those with limited mobility.","Sit upright in a chair with hands resting on the armrests. Press down firmly into the armrests to engage your triceps, then release with control.",8–12 repetitions,https://youtu.be/97ZoMGQ8a4M?si=dSB9Lx3kgf63ZtSX,Arms,,,,Beginner,Beginner
Seated Arm Press-Downs with Hold,Chair with armrests,None,None,None,None,Triceps and shoulders,Suitable for individuals improving arm strength and endurance in a seated position.,Sit upright in a chair with arms resting on the chair sides or thighs. Press down firmly with your hands while tightening your triceps and hold the contraction before releasing.,Hold for 10–15 seconds; repeat 3–5 times,https://youtu.be/4ZvwMCugX7U?si=MhM3hY6ofJnN-Wrn,Arms,,,,Beginner,Beginner
Seated Arm Raises with Marching Legs,Chair/Floor,None,None,None,None,"Shoulders, hip flexors, and core stabilizers","Suitable for individuals improving coordination, mobility, and endurance in a seated position.","Sit upright with feet flat on the floor. Raise both arms overhead while lifting one knee in a marching motion. Lower both arms and leg, then repeat with the opposite leg.",10–15 repetitions per side,,Legs,Arms,Core,,Beginner,Beginner
Seated Arm and Leg Extension,Chair/Floor,None,None,None,None,"Core stabilizers, shoulders, and hip flexors","Suitable for individuals improving core stability and coordination in a seated position, ideal for beginners or those with limited mobility.","Sit upright with feet flat on the floor. Extend one arm forward while extending the opposite leg outward. Hold briefly, then return to start and switch sides.",8–10 repetitions per side,https://youtu.be/v7dJtFuxguc?si=TvLLF9PVz62M9Yu-,Legs,Arms,Core,,Beginner,Beginner
Seated Back Extension,Chair,None,None,None,None,Lower back (erector spinae) and core stabilizers,Suitable for individuals seeking gentle spinal extension and posture strengthening while seated.,"Sit upright in a chair with feet flat. Gently lean your upper body backward slightly while keeping your core engaged, then return to upright.",8–12 repetitions,https://youtu.be/IzO36IZRhWY?si=MLdiKrufDNGGOXyM,Back,Core,,,Beginner,Beginner
Seated Band Chest Press,Chair/Floor,Resistance band,None,None,None,"Chest, triceps, and shoulders",Suitable for beginners or individuals with limited shoulder mobility. Ideal for improving pushing strength with light resistance.,"Perform seated with a lighter resistance band. Press forward until arms are extended, then return slowly with control.",8–12 repetitions,,Arms,Chest,,,Beginner,Beginner
Seated Band Curl with Pause,Chair/Floor,Resistance band,None,None,None,Biceps and forearms,Suitable for individuals building arm strength with controlled resistance using a seated position.,"Sit upright with a resistance band secured under your feet and hold the band with both hands. Curl the band toward your shoulders, pause briefly at the top of the curl, then lower slowly with control.",8–12 repetitions,,Arms,,,,Beginner,Beginner
Seated Band Press with Hold,Chair/Floor,Resistance band,None,None,None,"Chest, shoulders, and triceps",Suitable for individuals improving upper body strength in a seated position using resistance bands.,Sit upright with a resistance band anchored behind you. Press the band forward until arms are extended and hold the extended position briefly before returning with control.,8–12 repetitions,,Arms,Chest,,,Beginner,Beginner
Seated Band Pull-Apart,Chair/Floor,Resistance band,None,None,None,"Upper back, shoulders, and rear deltoids",Suitable for individuals needing gentle upper back strengthening and posture improvement while seated.,"Sit upright holding a resistance band with both hands, arms extended in front of you at shoulder height. Pull the band apart by moving your hands outward, squeezing your shoulder blades together. Return slowly with control.",8–12 repetitions,https://youtu.be/KfgbcuEPqFM?si=iPdGgDKutp0Sg6gF,Back,,,,Beginner,Beginner
Seated Bicep Curl with Cans,Chair/Floor,Light household items (cans),None,None,None,Biceps,Suitable for beginners or individuals with limited strength or access to weights.,"Sit upright, holding light household items like cans. Curl your arms by bending your elbows to bring the items toward your shoulders, then lower with control.",8–12 repetitions,https://youtu.be/JTsz-2NMXQo?si=UF1ddRrYuTH0YVX5,Arms,,,,Beginner,Beginner
Seated Calf Stretch,Chair,Towel/Strap,None,None,None,Calves (gastrocnemius and soleus),"Suitable for individuals improving calf flexibility, especially those needing a seated option or with limited mobility.",Sit upright in a chair with one leg extended forward. Loop a towel or strap around the ball of your foot and gently pull back until a stretch is felt in the calf. Keep your back straight and avoid bouncing.,Hold for 20–30 seconds; repeat 2–3 times per leg,https://youtu.be/uBYYqWQ7zEQ?si=7QJW_OeUyf9xACMP,Legs,Stretches,,,Beginner,Beginner
Seated Cat-Cow,Chair,None,None,None,None,"Lower back, upper back, and core stabilizers","Suitable for individuals improving spinal mobility and posture from a seated position, especially beneficial for those with limited mobility.","Sit upright in a chair with feet flat. On an inhale, arch your back gently and lift your chest (Cat position). On an exhale, round your back and tuck your chin toward your chest (Cow position). Repeat in a slow, controlled manner.","8–10 slow, controlled repetitions",https://youtu.be/RnDLDljvCNk?si=yTqqXtU1B5IyZdjM,Back,Core,,,Beginner,Beginner
Seated Chest Opener,Chair/Floor,None,None,None,None,"Upper back, shoulders, and chest","Ideal for individuals improving posture and shoulder mobility without equipment, especially in a seated position.","Sit upright with arms extended in front of you. Open your arms wide to the sides, squeezing your shoulder blades together, then return to start.",8–12 repetitions,https://youtu.be/vp1_GVB6QmE?si=_CWg6edIzz78ARHF,Chest,Back,,,Beginner,Beginner
Seated Chest Press with Resistance Band,Chair/Floor,Resistance band,None,None,None,"Chest, triceps, and shoulders","Suitable for individuals preferring seated upper body strengthening exercises, especially those with limited mobility.","Sit upright with a resistance band wrapped around your back. Hold the ends of the band at chest level and press forward, extending your arms fully, then slowly return.",8–12 repetitions,,Arms,Chest,,,Beginner,Beginner
Seated Core Squeeze,Chair,None,None,None,None,Abdominals and deep core stabilizers,"Suitable for individuals improving core activation in a seated position, ideal for beginners or those with limited mobility.","Sit upright in a chair with feet flat. Tighten your abdominal muscles by pulling your belly button in toward your spine. Hold the squeeze, then release.",Hold for 10–15 seconds; repeat 3–5 times,,Core,,,,Beginner,Beginner
Seated Elbow to Knee,Chair/Floor,None,None,None,None,"Obliques, hip flexors, and core stabilizers",Suitable for individuals seeking to improve core strength and mobility from a seated position.,"Sit upright with feet flat. Lift one knee while bringing the opposite elbow toward it, twisting your torso slightly. Lower with control and switch sides.",8–12 repetitions per side,https://youtu.be/RvYhcdSHoOw?si=ZyMrZF1MkDQFNcU1,Legs,Core,,,Beginner,Beginner
Seated Forward Fold,Chair,None,None,None,None,"Hamstrings, lower back, and hips","Suitable for individuals improving hamstring and lower back flexibility in a seated position, ideal for beginners or those with limited mobility.","Sit upright on a chair with feet flat on the floor. Slowly lean forward from your hips, reaching toward your feet while keeping your back as straight as comfortable. Stop at a gentle stretch and return slowly.",Hold for 20–30 seconds; repeat 2–3 times,,Legs,Back,,,Beginner,Beginner
Seated Hamstring Curl,Chair/Floor,Resistance band,None,None,None,Hamstrings and glutes,"Suitable for individuals needing gentle hamstring strengthening while seated, ideal for those with limited mobility or recovering from injury.","Sit upright with a resistance band looped around your ankles. Bend your knee to pull your foot backward under your chair, then return slowly.",8–12 repetitions per leg,,Legs,,,,Beginner,Beginner
Seated Hamstring Stretch,Chair,None,None,None,None,Hamstrings and lower back,"Ideal for individuals improving hamstring flexibility while seated, especially those with limited mobility or balance concerns.","Sit upright at the edge of a chair with one leg extended forward and heel on the floor. Gently lean forward from the hips, reaching toward your toes until a stretch is felt in the back of your thigh.",Hold for 20–30 seconds; repeat 2–3 times per leg,https://youtu.be/YY4PLr1jVG4?si=u3rgfEO2STwRgi7e,Legs,Back,Stretches,,Beginner,Beginner
Seated Hamstring Stretch with Towel,Chair,Towel,None,None,None,Hamstrings and lower back,"Suitable for individuals improving hamstring flexibility with extra assistance from a towel, ideal for those with limited flexibility.",Sit upright in a chair with one leg extended forward. Loop a towel around the foot of your extended leg and gently pull while leaning forward from the hips until you feel a stretch in your hamstring. Hold and then switch sides.,Hold for 20–30 seconds per leg; repeat 2–3 times,,Legs,Back,Stretches,,Beginner,Beginner
Seated Hands Press Together,None,None,None,None,None,"Chest, shoulders, and triceps",Suitable for beginners or individuals seeking gentle chest muscle activation without movement.,"Sit or stand upright with palms pressed together at chest level. Press your palms firmly against each other, engaging your chest muscles. Hold the squeeze without moving your arms or shoulders.",Hold for 10–20 seconds; repeat 3–5 times,,Arms,Chest,,,Beginner,Beginner
Seated Heel Raises,Chair,None,None,None,None,Calves (gastrocnemius and soleus),Suitable for individuals improving lower leg strength or circulation with minimal balance demands.,"Sit upright in a chair with feet flat on the floor. Slowly lift your heels off the ground, keeping your toes on the floor, then lower with control.",10–15 repetitions,https://youtu.be/AYrBC04o7MU?si=_RITUQ6km5M4_8o2,Legs,,,,Beginner,Beginner
Seated Heel Slide,Chair/Floor,None,None,None,None,Hamstrings and hip flexors,"Suitable for individuals improving knee mobility and hamstring flexibility in a seated position, often used in rehabilitation.","Sit upright with feet flat. Slide one heel forward on the floor to extend the leg, then slowly slide it back. Keep the motion controlled and smooth.",10–15 repetitions per leg,,Legs,,,,Beginner,Beginner
Seated Hip Abduction,Chair/Floor,Resistance band,None,None,None,"Hip abductors, glutes, and outer thighs","Suitable for individuals aiming to improve hip strength and stability while seated, especially with limited mobility.","Sit upright in a chair with a resistance band around your thighs. Slowly open your legs outward against the band, then return with control.",8–12 repetitions,https://youtu.be/TUp1lRwUDns?si=T34twyBPHuYh75Qs,Legs,,,,Beginner,Beginner
